Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Irrigation Method,,label
Saline,6.931483558,1.589092586,36.51295198,20.6883097,37.24706466,Drip Irrigation,,Onion
Black lava soil,7.382363045,3.072912463,22.27532039,10.09017757,32.50409399,Tube Well,,Opium
Black lava soil,7.274025314,1.605330747,29.96477507,18.92195211,38.14071059,Tube Well,,Chilli
Nitrogenous,5.889491822,2.197799417,30.17135907,11.5956477,41.5486339,Tube Well,,Maize
Saline,8.10290921,1.531602383,23.13960406,25.89971065,43.65949035,Sprinkler Irrigation,,Fennel
Chalky (Calcareous),7.142659662,2.260639953,31.60839271,20.84029903,35.02425759,Tube Well,,Cotton
Loamy,6.807006029,2.252794621,37.44556554,31.35724873,37.97801288,Sprinkler Irrigation,,Fenugreek
Alkaline,7.769882256,1.836732074,24.14537553,21.01191685,32.21524457,Tube Well,,Cumin
Alkaline,7.87495012,2.139633919,25.24544635,21.59260502,35.04151668,Canal Irrigation,,Fennel
Chalky (Calcareous),7.511315426,1.297218473,25.07503437,20.99340005,39.60466329,Sprinkler Irrigation,,Gram
Saline,7.589264585,1.017731981,22.59427138,19.98815542,37.28196552,Canal Irrigation,,Chilli
Loamy,7.809443149,2.819179866,31.90654806,21.55826428,32.40544587,Drip Irrigation,,Guava
Black lava soil,8.049242438,2.178830683,30.32252986,24.53272079,40.36126024,Tube Well,,Sugarcane
Black lava soil,7.378469401,2.001143968,35.3518258,26.35946211,39.4459372,Sprinkler Irrigation,,Wheat
Saline,7.379284718,2.733391278,32.52778927,22.18117852,34.04541747,Canal Irrigation,,Pulses
Saline,7.097100173,2.505137293,29.77819272,26.89233678,36.64243897,Drip Irrigation,,Wheat
Sandy,7.334612552,1.744919593,30.74728045,23.85375105,51.90856766,Drip Irrigation,,Fennel
Sandy,6.86288394,2.524241326,32.43887411,16.32883339,39.29235181,Drip Irrigation,,Oilseeds
Chalky (Calcareous),7.291045227,0.987096063,24.64573791,29.55709544,33.59772214,Tube Well,,Fenugreek
Chalky (Calcareous),7.506414322,2.239913518,28.65677123,10.81820108,37.83613058,Tube Well,,Garlic
Clay,7.256147314,2.537166502,32.48200059,30.3753252,45.90064087,Sprinkler Irrigation,,Tomato
Sandy,7.451237308,2.163905537,34.76239078,15.94553032,41.83407022,Canal Irrigation,,Chilli
Sandy,6.782045238,1.342092092,31.40504625,9.337021869,45.06318705,Sprinkler Irrigation,,Onion
Saline,6.910538254,1.890165274,33.04763023,12.22313133,41.00422547,Sprinkler Irrigation,,Cotton
Chalky (Calcareous),6.977235257,1.986869603,26.87744772,23.7349042,40.15745781,Canal Irrigation,,Onion
Loamy,7.262102278,1.586944004,26.5649295,13.24722018,39.62064275,Drip Irrigation,,Oilseeds
Loamy,6.66276527,1.94548829,30.17187655,20.80294717,46.81066202,Drip Irrigation,,Pulses
Alkaline,7.769882256,1.836732074,24.14537553,21.01191685,32.21524457,Tube Well,,Cumin
Sandy,7.754304187,1.78484534,22.57971668,18.95765895,46.03304077,Drip Irrigation,,Mango
Chalky (Calcareous),7.542263492,2.455107892,29.08235914,13.95400644,40.28370842,Tube Well,,Wheat
Chalky (Calcareous),7.806885428,2.187727929,30.83785053,25.81129799,37.3020439,Drip Irrigation,,Cotton
Clay,8.157113288,2.356633125,24.87017591,23.03644508,47.33925222,Sprinkler Irrigation,,Cumin
Sandy,8.501213734,1.846214291,31.80113019,22.70660647,34.99685314,Tube Well,,Sugarcane
Loamy,7.071613953,1.72222661,31.02194516,13.98925237,38.02159644,Canal Irrigation,,Fenugreek
Loamy,8.308150021,1.303632264,29.82724688,11.91643313,38.85308834,Tube Well,,Bajra
Chalky (Calcareous),7.888468351,2.015238207,25.51373497,16.73524922,37.2510532,Sprinkler Irrigation,,Coriander
Black lava soil,6.857000147,1.455794382,42.8025148,28.75462971,39.84240743,Sprinkler Irrigation,,Bajra
Loamy,7.08767483,2.351746074,29.61089282,18.62024274,38.19138082,Sprinkler Irrigation,,Bajra
Saline,7.347194693,2.365479488,26.74670086,9.548485506,39.14870877,Tube Well,,Garlic
Sandy,7.072452263,1.396988814,25.57014633,5.749849453,42.722912,Canal Irrigation,,Mustard
Chalky (Calcareous),8.69718095,3.092547448,26.56642328,28.11942496,41.91584095,Tube Well,,Fenugreek
Sandy,7.542047194,2.345455479,27.77596581,20.69514343,39.77438555,Sprinkler Irrigation,,Bajra
Loamy,7.262102278,1.586944004,26.5649295,13.24722018,39.62064275,Drip Irrigation,,Oilseeds
Clay,7.72343625,1.8287254,30.85231885,15.18633717,38.9669436,Tube Well,,Gram
Saline,7.104550309,1.610073527,35.40992405,13.25211894,37.92393116,Tube Well,,Pomegranate
Black lava soil,7.978919816,1.604559104,30.17004048,13.17489102,43.50747391,Canal Irrigation,,Sugarcane
Black lava soil,8.049242438,2.178830683,30.32252986,24.53272079,40.36126024,Tube Well,,Sugarcane
Clay,6.929495745,1.944245586,25.9751676,18.06150042,37.93192167,Drip Irrigation,,Maize
Saline,7.984684651,1.684298722,30.26263184,16.22024647,41.80220838,Drip Irrigation,,Pomegranate
Saline,8.749215242,1.885997137,22.96511269,22.01134039,46.60497895,Drip Irrigation,,Pomegranate
Nitrogenous,7.389231701,1.411518944,39.10271954,17.16802704,44.15808393,Sprinkler Irrigation,,Fennel
Sandy,7.768145455,0.901936089,29.18938012,20.71524385,44.24805994,Sprinkler Irrigation,,Sugarcane
Alkaline,7.761980256,1.800050005,26.27416115,19.47516146,43.06395371,Canal Irrigation,,Bajra
Clay,8.408377815,1.365354447,37.68078386,19.44340576,41.49542867,Canal Irrigation,,Onion
Chalky (Calcareous),7.200180003,2.2059765,34.25795523,15.4515978,37.74348568,Drip Irrigation,,Guava
Chalky (Calcareous),7.592587768,2.212722432,31.11144928,26.39432907,35.2384181,Sprinkler Irrigation,,Coriander
Black lava soil,6.960233574,2.498529678,35.63675045,14.35075071,35.88081565,Drip Irrigation,,Oilseeds
Nitrogenous,7.1481448,2.846173286,30.72163236,6.483259764,41.69677906,Sprinkler Irrigation,,Coriander
Loamy,7.617727898,0.155817354,25.96174721,18.04215011,47.52531019,Tube Well,,Fennel
Sandy,7.920890387,1.474389985,17.34115342,18.86446996,39.29121223,Drip Irrigation,,Opium
Chalky (Calcareous),7.556985334,1.603270135,25.3745769,17.74899054,40.36931717,Sprinkler Irrigation,,Sugarcane
Clay,7.997790757,2.851586305,21.80985471,11.06812267,36.88982597,Sprinkler Irrigation,,Guava
Clay,7.068253198,1.984398256,30.09008436,22.36315173,33.16570818,Drip Irrigation,,Wheat
Nitrogenous,6.465812142,2.044697639,27.78705354,20.03863947,44.72655886,Drip Irrigation,,Mustard
Loamy,7.499142923,2.544768292,41.82703886,12.80639949,38.87368679,Sprinkler Irrigation,,Cumin
Chalky (Calcareous),7.395665814,1.843665777,34.28949413,22.76784766,38.7135,Sprinkler Irrigation,,Barley
Clay,8.408377815,1.365354447,37.68078386,19.44340576,41.49542867,Canal Irrigation,,Onion
Sandy,6.307547246,2.173058664,32.4600714,30.32110067,40.79047438,Sprinkler Irrigation,,Guava
Nitrogenous,7.098864083,1.747683129,25.98444583,16.34071346,53.60956074,Tube Well,,Citrus
Alkaline,7.804940024,1.980036768,33.97461557,26.74567553,45.29085047,Tube Well,,Fennel
Alkaline,7.795568059,1.946514265,39.71122797,11.26389167,40.47310522,Sprinkler Irrigation,,Wheat
Saline,7.427560719,2.021520435,35.11420736,19.04776907,37.12958711,Sprinkler Irrigation,,Citrus
Loamy,7.998816038,1.856602882,33.79757444,18.54120684,39.70086928,Drip Irrigation,,Chilli
Clay,8.02003091,1.630114418,23.32694697,18.07163685,42.17251323,Tube Well,,Fennel
Sandy,7.562950694,2.425562049,36.11927959,21.68977777,37.03879578,Drip Irrigation,,Fenugreek
Alkaline,8.026105578,2.048717055,28.86528767,22.00000003,51.4439533,Drip Irrigation,,Fenugreek
Nitrogenous,7.449359641,1.70078121,25.16706055,19.65938287,41.81985315,Sprinkler Irrigation,,Opium
Saline,7.640022671,0.662716436,21.24512213,19.11254058,40.41220883,Drip Irrigation,,Barley
Saline,8.10290921,1.531602383,23.13960406,25.89971065,43.65949035,Sprinkler Irrigation,,Fennel
Clay,7.435561311,1.745453097,32.42679954,15.75447575,41.52832784,Sprinkler Irrigation,,Pomegranate
Loamy,7.493347682,1.700088988,22.20606502,24.09686634,42.11944741,Tube Well,,Bajra
Black lava soil,6.475029361,2.579537032,28.31872631,22.12744967,45.98623462,Tube Well,,Citrus
Saline,7.283305217,2.876597401,28.17423693,15.79753507,43.43619225,Drip Irrigation,,Fenugreek
Chalky (Calcareous),7.222491649,1.298815358,40.45547136,19.88781974,39.71024729,Sprinkler Irrigation,,Citrus
Loamy,7.186842362,2.247031959,15.72686669,15.71574067,34.3697302,Drip Irrigation,,Mango
Nitrogenous,8.037671701,2.105334233,31.04767115,14.54187414,41.16924013,Sprinkler Irrigation,,Garlic
Saline,7.965832983,2.197686841,28.43661415,16.02005545,38.75513172,Drip Irrigation,,Citrus
Sandy,8.100130875,1.768419319,27.94286696,25.76950367,30.6512915,Canal Irrigation,,Gram
Saline,8.034189667,2.302060445,41.51819376,12.60277888,46.2961662,Drip Irrigation,,Coriander
Black lava soil,7.892592541,1.111159519,33.57372825,18.83137971,43.53728855,Canal Irrigation,,Pulses
Clay,6.657666211,2.095458262,29.81834696,20.73467649,37.38934215,Tube Well,,Gram
Black lava soil,7.59806573,1.547965855,22.25519737,21.28987991,45.51938672,Sprinkler Irrigation,,Guava
Nitrogenous,7.791368792,2.248436795,35.34885727,14.00151236,28.41928069,Tube Well,,Fenugreek
Alkaline,7.313662208,1.878650626,20.54994914,17.72602641,34.80096734,Sprinkler Irrigation,,Barley
Nitrogenous,7.697899424,2.131775406,36.42047897,7.868039647,28.06535065,Canal Irrigation,,Cotton
Chalky (Calcareous),7.650850004,2.087768115,20.78103208,15.54841076,39.67961118,Canal Irrigation,,Gram
Black lava soil,8.005419868,3.764527594,23.77756775,22.24913607,36.46223857,Canal Irrigation,,Oilseeds
Nitrogenous,8.491816826,2.005940217,31.93293115,26.796488,39.26430248,Drip Irrigation,,Coriander
Chalky (Calcareous),7.923441052,1.942387884,28.07528556,22.70454259,44.38084584,Canal Irrigation,,Sugarcane
Sandy,6.909062937,2.224736956,40.43023525,14.92620253,38.19268617,Tube Well,,Garlic
Chalky (Calcareous),7.816830512,1.650900163,38.39337337,10.44179725,46.55583749,Sprinkler Irrigation,,Cotton
Loamy,7.171687965,2.436994876,30.39219623,20.91497225,35.82864328,Canal Irrigation,,Tomato
Chalky (Calcareous),7.462827335,1.907724279,32.96164774,20.49656907,38.04795631,Drip Irrigation,,Maize
Nitrogenous,6.966983914,1.974228896,39.56002735,25.82030076,46.74589524,Sprinkler Irrigation,,Gram
Black lava soil,6.55016486,1.93586826,23.08329612,24.50864349,43.92073208,Drip Irrigation,,Cumin
Chalky (Calcareous),7.395665814,1.843665777,34.28949413,22.76784766,38.7135,Sprinkler Irrigation,,Barley
Nitrogenous,6.465812142,2.044697639,27.78705354,20.03863947,44.72655886,Drip Irrigation,,Mustard
Alkaline,7.291780783,2.000988422,37.66436678,13.27492758,35.69475164,Drip Irrigation,,Sugarcane
Nitrogenous,7.751372404,0.75336459,25.17167598,28.14583182,37.09108983,Drip Irrigation,,Garlic
Chalky (Calcareous),7.336491341,1.89327161,32.48099594,17.32341644,42.55749788,Sprinkler Irrigation,,Oilseeds
Saline,7.013617742,2.203311017,29.13685433,23.1933857,39.6821323,Sprinkler Irrigation,,Onion
Saline,8.331866416,2.152621563,32.9369585,27.07093644,42.23696969,Tube Well,,Opium
Sandy,7.471046125,1.6324416,29.0703776,12.00302619,51.38543249,Canal Irrigation,,Wheat
Chalky (Calcareous),7.010349885,2.081680177,36.57037491,15.25625652,45.30628129,Drip Irrigation,,Garlic
Chalky (Calcareous),7.138017635,1.677829866,16.30429897,25.93072737,47.7016199,Sprinkler Irrigation,,Barley
Sandy,7.869837734,3.285997659,18.75283773,23.04367795,37.21434714,Sprinkler Irrigation,,Mustard
Black lava soil,6.839961406,1.880623699,36.42791117,19.71469354,40.70797893,Drip Irrigation,,Onion
Saline,7.640022671,0.662716436,21.24512213,19.11254058,40.41220883,Drip Irrigation,,Barley
Saline,7.274873306,1.62199799,31.11963437,10.26737357,34.41036196,Canal Irrigation,,Mustard
Black lava soil,8.099649786,1.983861553,29.56457637,29.39937275,42.6037806,Drip Irrigation,,Fennel
Black lava soil,6.991044255,1.588917197,23.56197358,15.49775769,47.0972784,Canal Irrigation,,Pulses
Loamy,6.939791041,1.622566902,30.16071573,11.37114438,40.1116962,Canal Irrigation,,Gram
Clay,7.609329653,1.776839742,28.99680351,21.83755205,45.20215446,Drip Irrigation,,Cumin
Nitrogenous,6.919108078,1.858430552,28.49570126,13.95261532,41.94489365,Canal Irrigation,,Opium
Saline,7.035536759,1.747935663,29.63571156,29.44639398,41.19085653,Sprinkler Irrigation,,Tomato
Alkaline,7.516859527,2.134296791,24.42588906,25.98455474,37.01552608,Sprinkler Irrigation,,Pulses
Black lava soil,8.528905589,1.280794417,27.4241455,19.36740552,42.19726345,Sprinkler Irrigation,,Barley
Alkaline,7.853615687,2.737556182,29.03286186,21.09194494,46.44431713,Sprinkler Irrigation,,Mango
Chalky (Calcareous),7.707913315,1.391551645,36.81688257,16.97421882,44.5520925,Sprinkler Irrigation,,Mango
Nitrogenous,7.162532991,1.798462005,39.95776651,15.83969348,37.24942359,Sprinkler Irrigation,,Guava
Clay,7.997790757,2.851586305,21.80985471,11.06812267,36.88982597,Sprinkler Irrigation,,Guava
Sandy,7.196322783,1.961389477,32.12921829,22.09102878,31.11994123,Canal Irrigation,,Fennel
Nitrogenous,7.218026256,1.591891378,30.39071531,24.30818062,40.69530199,Sprinkler Irrigation,,Sugarcane
Nitrogenous,7.179459367,2.329527172,35.13447309,22.99788771,48.0939382,Drip Irrigation,,Mango
Nitrogenous,7.657064748,1.841958519,31.57169342,22.19575067,44.16589716,Sprinkler Irrigation,,Bajra
Chalky (Calcareous),6.546096221,1.569807495,27.93197233,29.43843829,42.78276562,Tube Well,,Garlic
Loamy,7.80162375,2.149079233,33.19330084,25.29059163,41.8380992,Tube Well,,Citrus
Saline,6.931483558,1.589092586,36.51295198,20.6883097,37.24706466,Drip Irrigation,,Onion
Nitrogenous,7.356046962,2.122519332,28.65024052,12.28274528,47.97088978,Tube Well,,Fenugreek
Chalky (Calcareous),8.346773567,2.075703695,28.53657271,16.90919776,44.49255852,Drip Irrigation,,Tomato
Black lava soil,6.963335984,1.785576037,32.07918418,23.00106483,44.78966028,Drip Irrigation,,Pulses
Alkaline,7.449002642,1.578783685,33.7543639,23.27215514,44.86028483,Canal Irrigation,,Barley
Alkaline,7.184928585,2.287020965,29.45067938,19.07956566,36.13903806,Sprinkler Irrigation,,Mango
Nitrogenous,7.193508364,1.971479417,35.91993722,21.70912607,39.69981229,Sprinkler Irrigation,,Maize
Saline,7.351066598,2.384515828,27.36305469,19.97446684,41.99381882,Canal Irrigation,,Oilseeds
Chalky (Calcareous),6.624085597,1.805038147,30.79026745,19.51688165,37.92016536,Drip Irrigation,,Mango
Black lava soil,7.978919816,1.604559104,30.17004048,13.17489102,43.50747391,Canal Irrigation,,Sugarcane
Nitrogenous,7.454300221,1.959560751,30.26129245,14.69697467,36.41491925,Drip Irrigation,,Pulses
Nitrogenous,7.417184295,2.039288515,19.35632953,22.29084057,35.10139388,Sprinkler Irrigation,,Gram
Saline,7.477372849,1.383449347,36.95486179,13.22014828,39.02107365,Drip Irrigation,,Chilli
Chalky (Calcareous),7.508806626,1.512316986,36.51753966,23.32351373,37.23539581,Canal Irrigation,,Oilseeds
Clay,6.728440886,2.082147383,40.98111571,22.46493229,39.71241123,Tube Well,,Wheat
Black lava soil,8.393673207,1.876832359,18.49264141,15.89560539,37.86597903,Sprinkler Irrigation,,Mango
Saline,6.522475615,1.81553028,31.06904397,15.41011948,48.65584816,Tube Well,,Onion
Saline,6.853246187,1.652152561,25.40936508,26.19792003,38.01885161,Sprinkler Irrigation,,Gram
Loamy,6.939791041,1.622566902,30.16071573,11.37114438,40.1116962,Canal Irrigation,,Gram
Chalky (Calcareous),7.270987408,2.237667463,24.6832275,25.10812382,34.72005094,Canal Irrigation,,Tomato
Clay,8.072146534,1.306065725,33.81930176,19.73446599,37.24509098,Sprinkler Irrigation,,Opium
Nitrogenous,7.177213964,1.169458292,32.51626032,9.682984238,38.41324754,Sprinkler Irrigation,,Onion
Clay,7.083200859,1.66005573,26.02014813,20.95944773,39.19720195,Tube Well,,Pulses
Black lava soil,8.470608718,1.560838461,28.1099605,21.15722961,43.23244769,Canal Irrigation,,Gram
Sandy,7.745752824,1.995355719,31.53490536,29.06703849,38.28560569,Tube Well,,Garlic
Nitrogenous,7.793631207,1.897186073,30.41416285,16.3591405,48.74068535,Tube Well,,Fenugreek
Chalky (Calcareous),7.029298415,2.560483512,34.02787351,24.87911669,40.04428852,Tube Well,,Oilseeds
Black lava soil,7.037968596,1.373246994,28.92522581,21.92874984,43.51329999,Canal Irrigation,,Pulses
Loamy,7.720831282,1.283134988,25.81297137,9.465554427,32.88020944,Canal Irrigation,,Pulses
Nitrogenous,7.282105135,1.579275243,27.61080075,19.77696734,46.71090066,Tube Well,,Guava
Saline,7.288120159,1.773292946,21.02178414,18.34954904,43.66414541,Canal Irrigation,,Citrus
Alkaline,6.984487362,2.411175235,25.81509823,22.7598213,38.27950986,Tube Well,,Cumin
Chalky (Calcareous),7.721158434,1.624635196,24.24001226,20.54541485,41.92985046,Canal Irrigation,,Fennel
Black lava soil,6.906503306,2.52890709,27.05443934,15.32201851,39.11041062,Drip Irrigation,,Chilli
Black lava soil,7.076751099,2.303973784,26.22250558,19.49006673,47.23472073,Canal Irrigation,,Oilseeds
Saline,7.931111756,1.291886472,24.24423132,5.804606703,35.95309589,Tube Well,,Maize
Loamy,7.809443149,2.819179866,31.90654806,21.55826428,32.40544587,Drip Irrigation,,Guava
Nitrogenous,8.491816826,2.005940217,31.93293115,26.796488,39.26430248,Drip Irrigation,,Coriander
Nitrogenous,7.735254924,2.00593134,25.09605996,23.69972026,48.39873691,Tube Well,,Mustard
Loamy,8.336132952,1.631310048,25.82907576,8.669739529,38.24610897,Sprinkler Irrigation,,Citrus
Loamy,7.46127827,1.402353118,37.25463774,29.03598322,31.58670653,Tube Well,,Cumin
Alkaline,7.65494739,1.363207226,27.9268655,15.0241302,42.74841593,Tube Well,,Cotton
Alkaline,8.110410649,1.561613109,38.56020142,11.26181745,42.17385032,Drip Irrigation,,Pulses
Alkaline,7.600826453,1.485013863,30.23039611,14.63155671,40.40541271,Drip Irrigation,,Citrus
Nitrogenous,7.1481448,2.846173286,30.72163236,6.483259764,41.69677906,Sprinkler Irrigation,,Coriander
Saline,7.589264585,1.017731981,22.59427138,19.98815542,37.28196552,Canal Irrigation,,Chilli
Clay,7.571653153,1.742047343,25.37303871,11.22281051,36.52425321,Tube Well,,Citrus
Saline,7.699734686,2.155236377,24.36368104,14.21529301,41.6125233,Tube Well,,Chilli
Clay,8.072146534,1.306065725,33.81930176,19.73446599,37.24509098,Sprinkler Irrigation,,Opium
Alkaline,7.242390803,2.765097599,33.32463581,15.37717943,32.01200415,Sprinkler Irrigation,,Mustard
Alkaline,7.185481069,1.941172534,30.07513875,10.41325557,32.64436797,Canal Irrigation,,Barley
Chalky (Calcareous),7.222491649,1.298815358,40.45547136,19.88781974,39.71024729,Sprinkler Irrigation,,Citrus
Clay,7.826153076,1.184332445,32.40130251,14.72446162,44.1139139,Tube Well,,Fenugreek
Clay,6.022875529,1.679136428,26.87041991,15.10872531,40.61121502,Sprinkler Irrigation,,Sugarcane
Alkaline,7.65494739,1.363207226,27.9268655,15.0241302,42.74841593,Tube Well,,Cotton
Alkaline,8.403804254,2.253078828,24.719846,18.71527437,41.53916186,Tube Well,,Maize
Saline,7.269846619,2.515124847,28.09981577,17.9760231,45.66402349,Drip Irrigation,,Wheat
Loamy,7.181206229,2.108341559,28.48324966,18.90566874,43.83121488,Sprinkler Irrigation,,Chilli
Sandy,6.579051114,2.4460338,27.05053841,23.49344407,40.12605434,Drip Irrigation,,Citrus
Alkaline,8.085858957,1.411913332,32.43780149,25.90945546,42.40454046,Sprinkler Irrigation,,Bajra
Chalky (Calcareous),6.90611738,1.801338374,32.67182449,20.45546803,35.7423001,Sprinkler Irrigation,,Tomato
Saline,7.501115811,1.862678125,27.7139073,16.55444101,42.33845052,Tube Well,,Fennel
Clay,7.826153076,1.184332445,32.40130251,14.72446162,44.1139139,Tube Well,,Fenugreek
Alkaline,6.457103781,2.486863115,31.4939889,16.13272078,49.49367491,Sprinkler Irrigation,,Citrus
Saline,7.455727893,1.773054292,34.45028866,16.96369293,38.99899373,Canal Irrigation,,Sugarcane
Sandy,6.913060018,1.901031136,40.33953169,10.84158876,34.74345044,Tube Well,,Chilli
Loamy,8.051608786,2.720971201,31.09481958,15.79089184,27.82343834,Tube Well,,Pulses
Chalky (Calcareous),7.745714726,2.284880179,30.97740866,19.50577399,42.17987695,Sprinkler Irrigation,,Oilseeds
Alkaline,7.319980366,1.635961451,31.8667428,21.56189105,45.96367583,Canal Irrigation,,Sugarcane
Saline,6.842279346,2.654722051,28.61555322,16.64139605,33.72919507,Drip Irrigation,,Pomegranate
Clay,7.249869492,1.741941679,40.62278115,6.1309253,39.10190139,Sprinkler Irrigation,,Onion
Saline,7.074732361,3.242594958,31.32387655,26.37695369,39.24142783,Sprinkler Irrigation,,Fenugreek
Loamy,7.454077618,1.956282336,32.74159814,24.74797286,39.70292409,Tube Well,,Mustard
Saline,7.288120159,1.773292946,21.02178414,18.34954904,43.66414541,Canal Irrigation,,Citrus
Loamy,8.308150021,1.303632264,29.82724688,11.91643313,38.85308834,Tube Well,,Bajra
Sandy,7.628686553,1.684576799,32.16176357,16.4140905,29.83823118,Canal Irrigation,,Garlic
Loamy,8.750450249,1.472180255,28.2315712,13.8378438,44.76230985,Tube Well,,Sugarcane
Loamy,8.409885894,1.958455336,33.24440963,17.07799512,52.26184956,Tube Well,,Wheat
Saline,7.501115811,1.862678125,27.7139073,16.55444101,42.33845052,Tube Well,,Fennel
Nitrogenous,7.853039457,1.878659362,24.86815396,26.15000286,35.17647287,Sprinkler Irrigation,,Maize
Chalky (Calcareous),6.892596932,0.895859612,28.84706801,20.67929712,39.73747466,Tube Well,,Sugarcane
Nitrogenous,8.015329904,2.547399251,25.97004134,17.36722433,33.38826283,Tube Well,,Bajra
Black lava soil,7.380944782,2.023001374,25.47692813,25.86378423,43.32708412,Drip Irrigation,,Mustard
Loamy,7.493347682,1.700088988,22.20606502,24.09686634,42.11944741,Tube Well,,Bajra
Black lava soil,8.584968294,1.288158682,20.74078634,23.91794832,36.60678469,Drip Irrigation,,Chilli
Alkaline,7.026053641,1.582838477,33.82014891,12.28599242,36.83622485,Drip Irrigation,,Maize
Saline,8.340746229,1.558065552,30.73649,16.59752976,43.0747232,Canal Irrigation,,Bajra
Saline,8.091746833,1.410979566,38.33612056,27.61619311,43.67810999,Canal Irrigation,,Wheat
Sandy,6.307547246,2.173058664,32.4600714,30.32110067,40.79047438,Sprinkler Irrigation,,Guava
Sandy,8.501213734,1.846214291,31.80113019,22.70660647,34.99685314,Tube Well,,Sugarcane
Alkaline,8.026105578,2.048717055,28.86528767,22.00000003,51.4439533,Drip Irrigation,,Fenugreek
Chalky (Calcareous),7.234272724,1.216070287,31.73354989,32.55778276,30.79961128,Drip Irrigation,,Chilli
Loamy,7.025523586,1.546548563,18.24772074,28.36434101,35.68010075,Tube Well,,Garlic
Clay,7.407451175,2.606064602,23.80205994,23.03920169,45.50665082,Sprinkler Irrigation,,Cotton
Nitrogenous,6.792366404,2.109267021,35.04735894,15.77529281,32.5049202,Canal Irrigation,,Citrus
Saline,8.143191068,1.871473796,31.38776257,15.33446961,35.01534187,Drip Irrigation,,Pulses
Nitrogenous,7.454300221,1.959560751,30.26129245,14.69697467,36.41491925,Drip Irrigation,,Pulses
Sandy,8.501213734,1.846214291,31.80113019,22.70660647,34.99685314,Tube Well,,Sugarcane
Clay,6.657666211,2.095458262,29.81834696,20.73467649,37.38934215,Tube Well,,Gram
Black lava soil,7.632145105,2.656891088,29.9226418,15.66012289,38.93203379,Drip Irrigation,,Oilseeds
Chalky (Calcareous),6.628614013,2.204719265,28.61664114,20.56697196,42.29497001,Sprinkler Irrigation,,Opium
Clay,7.249869492,1.741941679,40.62278115,6.1309253,39.10190139,Sprinkler Irrigation,,Onion
Chalky (Calcareous),6.867996916,2.243092396,20.25314122,9.748212714,43.69590247,Tube Well,,Opium
Clay,7.249869492,1.741941679,40.62278115,6.1309253,39.10190139,Sprinkler Irrigation,,Onion
Clay,7.807983503,2.518590703,25.44756648,18.77985824,41.47359626,Sprinkler Irrigation,,Pulses
Saline,7.743652619,2.535964933,25.60358609,21.7429756,39.37412786,Sprinkler Irrigation,,Fennel
Alkaline,7.301402342,1.44886513,31.73780807,20.4334885,41.77834474,Sprinkler Irrigation,,Wheat
Saline,8.2695986,1.535890016,36.21714139,21.77669098,30.95366143,Canal Irrigation,,Coriander
Alkaline,7.301402342,1.44886513,31.73780807,20.4334885,41.77834474,Sprinkler Irrigation,,Wheat
Sandy,8.159098534,1.320912539,27.78368268,18.55712441,39.42720286,Canal Irrigation,,Cotton
Alkaline,8.347861439,2.948644347,30.78346864,25.11765322,40.87643389,Tube Well,,Onion
Black lava soil,7.382363045,3.072912463,22.27532039,10.09017757,32.50409399,Tube Well,,Opium
Chalky (Calcareous),6.784322576,1.357200443,21.92076765,21.86324093,40.83246564,Drip Irrigation,,Oilseeds
Loamy,7.669276438,1.531037212,31.08312488,14.87123658,45.50410699,Sprinkler Irrigation,,Oilseeds
Clay,7.19412018,2.567973923,29.23001167,19.19022592,42.1920635,Drip Irrigation,,Wheat
Loamy,7.80162375,2.149079233,33.19330084,25.29059163,41.8380992,Tube Well,,Citrus
Chalky (Calcareous),8.299160904,2.366773907,30.04391827,18.81158342,40.38304535,Canal Irrigation,,Cumin
Clay,7.285509641,2.482384947,36.49993686,24.80152584,31.02904067,Tube Well,,Coriander
Sandy,8.100130875,1.768419319,27.94286696,25.76950367,30.6512915,Canal Irrigation,,Gram
Saline,7.495408823,1.741121276,31.0890117,22.37794218,31.26552154,Tube Well,,Tomato
Saline,7.06934521,3.089281087,30.97166732,19.26329887,44.81962712,Tube Well,,Barley
Black lava soil,8.168484537,1.95887315,31.53225431,17.81131339,40.90994941,Tube Well,,Mango
Nitrogenous,5.889491822,2.197799417,30.17135907,11.5956477,41.5486339,Tube Well,,Maize
Black lava soil,6.781873068,2.346961617,33.5829467,11.34868635,46.66942873,Drip Irrigation,,Chilli
Sandy,7.471046125,1.6324416,29.0703776,12.00302619,51.38543249,Canal Irrigation,,Wheat
Clay,7.843428956,0.967348612,40.60815654,18.58424058,29.87480043,Drip Irrigation,,Chilli
Chalky (Calcareous),6.977235257,1.986869603,26.87744772,23.7349042,40.15745781,Canal Irrigation,,Onion
Black lava soil,8.099649786,1.983861553,29.56457637,29.39937275,42.6037806,Drip Irrigation,,Fennel
Chalky (Calcareous),7.506414322,2.239913518,28.65677123,10.81820108,37.83613058,Tube Well,,Garlic
Sandy,6.223225202,1.915807539,28.36993752,21.95183097,39.23047387,Drip Irrigation,,Gram
Nitrogenous,5.914787132,2.10530042,27.5576196,27.96334999,40.09672035,Drip Irrigation,,Chilli
Black lava soil,7.00606333,1.576574517,36.24809453,23.89674502,39.8049024,Drip Irrigation,,Garlic
Chalky (Calcareous),6.892596932,0.895859612,28.84706801,20.67929712,39.73747466,Tube Well,,Sugarcane
